GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
untitled,com.example.constants,ExceptionMessage,3,0,0,0,1,0,1,0,1,0
untitled,com.example,Feline,0,16,0,0,0,5,0,5,0,5
untitled,com.example,Animal,11,16,2,2,3,4,3,2,1,2
untitled,com.example,Lion,0,39,0,4,0,11,0,6,0,4
untitled,com.example,Cat,0,12,0,0,0,5,0,3,0,3
untitled,com.example.enums,AnimalFamily,0,26,0,0,0,4,0,3,0,3
untitled,com.example.enums,Sex,3,45,0,0,1,5,1,2,1,2
untitled,com.example.enums,AnimalSound,3,23,0,0,1,3,1,2,1,2
untitled,com.example.enums,AnimalKind,3,34,0,0,1,4,1,2,1,2
untitled,com.example.enums,AnimalFood,0,42,0,0,0,5,0,3,0,3
